Date,Price,Open,High,Low,Vol.,Change %
"Apr 25, 2021",29.90457,29.0304,30.34223,29.0304,9.38M,2.94%
"Apr 24, 2021",29.0496,32.2622,32.36795,29.0496,623.19K,-9.92%
"Apr 23, 2021",32.24968,32.9408,32.9408,28.21603,27.12M,-2.14%
"Apr 22, 2021",32.95611,33.7807,35.97624,32.81422,19.09M,-2.46%
"Apr 21, 2021",33.7887,35.4501,35.83483,33.05846,1.18M,-4.76%
"Apr 20, 2021",35.47729,34.75285,35.72968,32.68943,15.55M,2.08%
"Apr 19, 2021",34.75285,37.4138,38.63879,34.07148,12.76M,-7.00%
"Apr 18, 2021",37.36675,42.1857,42.1857,36.3006,27.96M,-11.42%
"Apr 17, 2021",42.1857,41.4484,43.1438,41.4484,1.04M,1.78%
"Apr 16, 2021",41.4484,43.4435,43.4435,41.4484,905.48K,-4.68%
"Apr 15, 2021",43.4838,42.4943,43.8,42.0453,722.45K,2.26%
"Apr 14, 2021",42.5227,42.9228,43.7806,41.1397,781.83K,-1.00%
"Apr 13, 2021",42.9524,40.4819,42.9524,40.4819,808.68K,6.10%
"Apr 12, 2021",40.4819,41.2955,41.3388,40.1592,406.88K,-2.00%
"Apr 11, 2021",41.3089,41.5868,41.5868,40.3828,367.66K,-0.67%
"Apr 10, 2021",41.5868,40.7796,42.1913,40.7796,485.89K,1.99%
"Apr 09, 2021",40.7749,41.3252,41.3252,40.4708,351.69K,-1.35%
"Apr 08, 2021",41.3316,39.5162,41.3316,39.5162,463.54K,4.41%
"Apr 07, 2021",39.5855,43.344,43.344,38.7094,925.53K,-8.61%
"Apr 06, 2021",43.3137,45.7746,45.7746,42.9549,601.33K,-5.44%
"Apr 05, 2021",45.8068,44.32,45.8068,42.3423,660.12K,3.42%
"Apr 04, 2021",44.29,41.3527,44.29,41.3527,521.92K,7.06%
"Apr 03, 2021",41.368,40.9987,44.8101,40.9987,1.33M,0.90%
"Apr 02, 2021",40.9987,37.432,40.9987,37.432,670.55K,9.51%
"Apr 01, 2021",37.4372,37.058,37.4372,36.5513,925.87K,1.02%
"Mar 31, 2021",37.058,33.9879,37.1789,33.9879,1.19M,9.08%
"Mar 30, 2021",33.973,34.3383,34.44,33.7224,472.67K,-1.15%
"Mar 29, 2021",34.3677,32.2417,34.3677,32.2417,933.89K,6.59%
"Mar 28, 2021",32.2417,32.6036,33.0264,31.9154,529.06K,-1.24%
"Mar 27, 2021",32.6457,33.1939,33.2001,32.4303,705.39K,-1.65%
"Mar 26, 2021",33.1939,29.8528,33.1939,29.8528,786.60K,11.19%
"Mar 25, 2021",29.8528,30.2516,30.741,29.173,1.19M,-1.34%
"Mar 24, 2021",30.2597,34.2,35.1859,30.2597,1.76M,-11.59%
"Mar 23, 2021",34.2249,35.2525,35.2525,34.2249,788.44K,-2.93%
"Mar 22, 2021",35.2592,36.6443,37.4737,35.2592,536.58K,-3.78%
"Mar 21, 2021",36.6443,37.2392,37.3598,36.6443,457.17K,-1.67%
"Mar 20, 2021",37.2679,38.1833,39.2873,37.2679,798.97K,-2.41%
"Mar 19, 2021",38.1888,35.3263,38.1888,35.3263,886.96K,8.04%
"Mar 18, 2021",35.3481,36.1104,36.3275,35.3481,761.49K,-2.20%
"Mar 17, 2021",36.1435,35.4176,36.1435,34.9577,651.63K,2.05%
"Mar 16, 2021",35.4176,34.3155,35.4176,32.57,846.21K,3.31%
"Mar 15, 2021",34.2838,36.49,36.49,34.2838,811.74K,-6.07%
"Mar 14, 2021",36.5,37.1266,37.3956,36.5,587.07K,-1.74%
